Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2016.2,2,97.95918367346938,7,92.85714285714286,2,97.95918367346938,19,80.61224489795919,2,97.95918367346938,13,86.73469387755102,47,52.04081632653062,16,83.6734693877551,54,44.89795918367347,1,98.9795918367347,4,95.91836734693877,98
2016.1,2,97.97979797979798,2,97.97979797979798,3,96.96969696969697,21,78.78787878787878,2,97.97979797979798,4,95.95959595959596,9,90.9090909090909,9,90.9090909090909,4,95.95959595959596,1,98.98989898989899,3,96.96969696969697,99
2015.3,1,98.9795918367347,3,96.93877551020408,2,97.95918367346938,9,90.81632653061224,1,98.9795918367347,4,95.91836734693877,3,96.93877551020408,9,90.81632653061224,4,95.91836734693877,2,97.95918367346938,1,98.9795918367347,98
2015.2,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,4,95.95959595959596,4,95.95959595959596,12,87.87878787878788,4,95.95959595959596,7,92.92929292929293,4,95.95959595959596,3,96.96969696969697,4,95.95959595959596,99
2015.1,4,96.0,10,90.0,1,99.0,7,93.0,1,99.0,4,96.0,3,97.0,6,94.0,38,62.0,2,98.0,8,92.0,100
2014.3,1,99.15966386554622,1,99.15966386554622,5,95.7983193277311,12,89.91596638655463,5,95.7983193277311,4,96.63865546218487,7,94.11764705882352,5,95.7983193277311,10,91.59663865546219,1,99.15966386554622,1,99.15966386554622,119
2014.2,4,96.55172413793103,1,99.13793103448276,10,91.37931034482759,14,87.93103448275862,9,92.24137931034483,7,93.96551724137932,8,93.10344827586206,6,94.82758620689656,8,93.10344827586206,2,98.27586206896551,14,87.93103448275862,116
2014.1,3,97.14285714285714,11,89.52380952380953,1,99.04761904761905,13,87.61904761904762,3,97.14285714285714,4,96.19047619047619,2,98.09523809523809,27,74.28571428571429,2,98.09523809523809,2,98.09523809523809,5,95.23809523809523,105
2013.3,14,86.0,5,95.0,5,95.0,14,86.0,5,95.0,14,86.0,7,93.0,11,89.0,2,98.0,45,55.00000000000001,36,64.0,100
2013.2,1,99.0,2,98.0,2,98.0,4,96.0,2,98.0,1,99.0,1,99.0,5,95.0,28,72.0,1,99.0,19,81.0,100
2013.1,,,,,,,,,,,,,,,,,,,,,,,
2012.3,1,98.9795918367347,1,98.9795918367347,2,97.95918367346938,12,87.75510204081633,3,96.93877551020408,1,98.9795918367347,2,97.95918367346938,7,92.85714285714286,2,97.95918367346938,1,98.9795918367347,4,95.91836734693877,98
2012.2,3,97.3913043478261,11,90.43478260869566,1,99.1304347826087,14,87.82608695652175,1,99.1304347826087,3,97.3913043478261,4,96.52173913043478,10,91.30434782608695,73,36.52173913043478,9,92.17391304347827,2,98.26086956521739,115
2012.1,,,,,,,,,,,,,,,,,,,,,,,
2011.3,,,,,,,,,,,,,,,,,,,,,,,
2011.2,10,82.14285714285714,10,82.14285714285714,8,85.71428571428571,25,55.35714285714286,2,96.42857142857143,10,82.14285714285714,4,92.85714285714286,29,48.214285714285715,5,91.07142857142857,8,85.71428571428571,12,78.57142857142857,56
2011.1,10,90.0,30,70.0,14,86.0,35,65.0,7,93.0,10,90.0,35,65.0,41,59.0,43,56.99999999999999,8,92.0,8,92.0,100
2010.3,1,98.85057471264368,1,98.85057471264368,7,91.95402298850574,28,67.81609195402298,4,95.40229885057471,1,98.85057471264368,5,94.25287356321839,3,96.55172413793103,8,90.80459770114942,3,96.55172413793103,3,96.55172413793103,87
2010.2,5,95.0,4,96.0,20,80.0,56,44.0,8,92.0,5,95.0,12,88.0,3,97.0,40,60.0,5,95.0,2,98.0,100
2010.1,,,,,,,,,,,,,,,,,,,,,,,
2009.3,10,89.8989898989899,4,95.95959595959596,15,84.84848484848484,9,90.9090909090909,4,95.95959595959596,10,89.8989898989899,2,97.97979797979798,19,80.8080808080808,19,80.8080808080808,11,88.88888888888889,16,83.83838383838383,99
2009.2,22,81.66666666666667,7,94.16666666666667,1,99.16666666666667,17,85.83333333333333,1,99.16666666666667,22,81.66666666666667,5,95.83333333333334,14,88.33333333333333,2,98.33333333333333,2,98.33333333333333,46,61.66666666666667,120
2009.1,17,79.76190476190477,34,59.523809523809526,2,97.61904761904762,12,85.71428571428571,3,96.42857142857143,5,94.04761904761905,22,73.80952380952381,8,90.47619047619048,43,48.80952380952381,35,58.333333333333336,26,69.04761904761905,84
