Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
80,24,Ecole National D'Aerotechnique,Baja ENA,126.33,34.8,68,15,30,23,0,0,34.8,0,23.53,0,TRUE,TRUE,FALSE,
81,109,Citadel,Bulldog Baja,96.96,26.05,70.92,45.92,10,15,3.02,0,23.02,0,0,0,TRUE,TRUE,TRUE,
82,41,Binghamton Univ,bingbaja,92,0,92,15,50,27,0,0,0,0,0,0,TRUE,TRUE,FALSE,
83,16,Lokmanya Tilak College of Engineering,LTJSS RACING INDIA,86,0,86,15,50,21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
84,61,Wentworth Inst of Tech,WIT Baja,70.5,0,70.5,15,40,15.5,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,93,Western Carolina Univ,WCU Baja,67.22,24.1,43.12,43.12,0,0,0,0,24.1,0,0,0,TRUE,TRUE,TRUE,
86,106,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles,64,0,64,5,40,19,0,0,0,0,0,0,TRUE,FALSE,FALSE,
87,28,George Mason Univ,Mason Racing,51,0,51,15,20,16,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,58,Univ of Virginia,Virginia Motorsports,25.1,10.1,15,15,0,0,10.1,0,0,0,0,0,TRUE,TRUE,FALSE,
89,10,New Jersey Institute of Technology,Highlander Racing,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,27,Univ of Louisville,Speed Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,33,Cairo University,BCURT,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,34,"D Y Patil College Of Engineering, Akurdi",Team Predators,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,49,Univ of Helwan,BHU,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,53,Southern New Hampshire Univ,Penmen Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
