Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (60),Land Manuverability (60),Pulling (60),Suspension & Traction (60),Endurance Race (400),Event Penalty,Mud Bog (60),Register,Passed Tech
75,80,California State Univ - Long Beach,CSULB Racing ,395.31,182.65,72.12,0.00,72.13,,51.02,47.60,40.57,23.68,140.54,,19.78,,Pass
76,87,Memorial Univ of Newfoundland,Memorial Baja ,391.67,209.75,160.30,33.92,126.38,,53.16,53.92,28.53,31.58,21.62,,42.56,,Pass
77,99,Lamar Univ,Cardinal Racing,389.39,212.09,101.62,0.00,101.63,,35.73,33.07,50.87,50.33,75.68,,42.09,,Pass
78,111,Oklahoma State Univ,Cowboy Racing ,359.33,167.84,105.00,0.00,105.00,,30.53,46.89,20.06,34.21,86.49,,36.15,,Pass
79,54,Purdue Univ - Calumet,PUC Motorsports ,333.13,28.82,174.58,76.46,98.13,,17.66,0.00,8.47,0.00,129.73,,2.69,,Pass
80,112,Univ of Colorado - Colorado Springs,UCCS Mountain Ligers,327.94,119.80,132.46,75.96,56.50,,44.70,0.00,19.17,21.05,75.68,,34.88,,Pass
81,85,Univ of Illinois - Urbana Champaign,OffRoadIllini ,315.80,134.23,127.52,32.27,95.25,,9.36,32.85,32.54,31.58,54.05,,27.90,,Pass
82,105,Univ of Illinois - Chicago,UIC Motorsports ,307.24,31.58,135.12,14.00,121.13,,0.00,0.00,0.00,31.58,140.54,,0.00,,Pass
83,60,Lawrence Technological Univ,BlueDevil Motorsports SAE Baja ,306.65,147.29,116.12,0.00,116.13,,43.39,17.32,29.87,34.21,43.24,,22.50,,Pass
84,34,Manhattan College,Jasper Racing,296.87,134.38,76.00,0.00,76.00,,19.04,0.00,49.01,23.68,86.49,,42.65,,Pass
85,35,Manipal Institute of Tech,Team Manipal Racing ,287.09,107.09,158.38,68.63,89.75,,22.45,48.65,24.07,7.89,21.62,,4.03,,Pass
86,103,Univ of Wisconsin - Stout,Stout Blue Devils,276.90,78.71,90.08,61.20,28.88,,0.00,0.00,34.77,43.94,108.11,,0.00,,Pass
87,114,Univ of Missouri - Kansas City,The BOSS ,261.92,92.53,136.96,55.84,81.13,,21.65,0.00,0.00,31.58,32.43,,39.30,,Pass
88,53,Concordia University,Concordia Baja Racing ,251.44,51.35,178.47,75.72,102.75,,0.00,40.34,3.12,7.89,21.62,,0.00,,Pass
89,74,West Virginia Univ Inst of Tech,Golden Bear Racing,245.70,15.79,67.75,0.00,67.75,,0.00,0.00,0.00,15.79,162.16,,0.00,,Pass
90,113,Univ of Evansville,Evansville Aces,220.01,128.13,91.88,0.00,91.88,,19.93,44.22,13.37,28.95,0.00,,21.66,,Pass
91,81,SUNY - Inst of Technology,Wildcat Motorsports,217.49,52.56,89.25,0.00,89.25,,20.98,0.00,0.00,31.58,75.68,,0.00,,Pass
92,51,Ohio State Univ,Baja Buckeyes,210.63,71.57,128.25,0.00,128.25,,32.30,18.22,0.00,21.05,10.81,,0.00,,Pass
93,32,Buffalo State College,BSC Baja,192.55,105.17,87.38,0.00,87.38,,0.00,47.97,38.78,18.42,0.00,,0.00,,Pass
94,66,Vellore Institute of Technology,TEAM KSHATRIYA INTERNATIONAL ,163.44,7.89,123.12,15.00,108.13,,0.00,0.00,0.00,7.89,32.43,,0.00,,Pass
95,69,Milwaukee School of Engrg,Brew Crew Racing ,156.13,29.20,94.50,0.00,94.50,,29.20,0.00,0.00,0.00,32.43,,0.00,,Pass
96,48,Northern Kentucky Univ,Norse Baja ,139.72,17.52,122.20,55.08,67.13,,0.00,0.00,0.00,0.00,0.00,,17.52,,Pass
97,107,Univ of Memphis,Tiger Baja ,119.87,0.00,109.06,72.31,36.75,,0.00,0.00,0.00,0.00,10.81,,0.00,,Pass
98,21,Ryerson Univ,Ryerson Baja Team,61.51,7.89,32.00,0.00,32.00,,0.00,0.00,0.00,7.89,21.62,,0.00,,Pass
99,47,Penn State Univ - Altoona,Penn State Altoona Motorsports,47.00,0.00,47.00,0.00,47.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
100,98,Ferris State University,Brutus ,27.50,0.00,27.50,11.00,16.50,,0.00,0.00,0.00,0.00,0.00,,0.00,,
101,24,Univ of New Hampshire,UNH Wildcat Racing,7.00,0.00,7.00,7.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
102,25,Univ of North Texas,Team Mean Green,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
102,79,Penn State Univ - Berks,PSU Berks Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
,14,Universidad Nacional Experimental Polite,Baja SAE UNEXPO Guarenas,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,38,George Washington Univ,The Washington,15.75,0.00,15.75,0.00,15.75,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,40,Western Michigan Univ,BroncoBaja,24.50,0.00,24.50,2.00,22.50,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,42,Texas A & M - Kingsville,Javelina Motorsports,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,55,Universite Du Quebec a Trois-Rivieres,BAJA SAE UQTR ,29.25,0.00,29.25,0.00,29.25,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,58,Laurentian Univ,Big Stack Racing,15.00,0.00,15.00,15.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,71,Andrews Univ,Andrews University,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,75,Cegep de Sherbrooke,Cegep de sherbrooke ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,76,Ecole National D'Aerotechnique,ENA Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,86,Missouri University of Science and Tech,Miner Baja SAE ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,102,Florida A&M Univ/Florida State Univ,F-Racing ,60.88,0.00,60.88,5.00,55.88,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
,116,New Mexico State Univ,Haulin Aggies,26.62,0.00,26.62,0.00,26.63,,0.00,0.00,0.00,0.00,0.00,,0.00,No,Pass
