Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
77,44,Manhattan College,Manhattan College Jasper Racing,128.89,19.84,109.06,35.18,40,33.87,16.72,0,3.12,0,0,0,TRUE,TRUE,TRUE,
78,97,Univ Federal do Rio Grande do Norte,Car-Kara Baja SAE,127.83,0,127.83,78.47,0,49.35,0,0,0,0,0,0,TRUE,FALSE,FALSE,
79,91,Univ of Nevada - Reno,Wolf Pack Racing,99.03,0,99.03,16.94,30,52.09,0,0,0,0,0,0,TRUE,FALSE,FALSE,
80,50,California State Univ - Fresno,Fresno State Bulldog Racing,93.67,0,72.24,39.84,0,32.4,0,0,0,0,21.43,0,TRUE,TRUE,TRUE,
81,112,Kettering Univ,Kettering Motorsports,74.1,10.22,49.59,10,0,39.59,0,0,0,10.22,14.29,0,TRUE,TRUE,TRUE,
82,42,Wichita State Univ,Shocker Racing,65.49,0,65.49,11,0,54.49,0,0,0,0,0,0,TRUE,TRUE,FALSE,
83,74,Univ of Georgia,UGA Motorsports,61.18,0,61.18,0,0,61.18,0,0,0,0,0,0,TRUE,FALSE,FALSE,
84,33,Univ of Oklahoma,Sooner Off-Road,61.14,0,61.14,0,0,61.14,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,77,Ryerson Univ,Ryerson Baja Racing,57.43,0,57.43,0,0,57.43,0,0,0,0,0,0,TRUE,FALSE,FALSE,
86,63,Binghamton Univ,Binghamton University,45.52,0,45.52,0,0,45.52,0,0,0,0,0,0,TRUE,FALSE,FALSE,
87,106,Univ of Texas - El Paso,Madpete Motorsports,35.11,0,35.11,0,0,35.11,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,111,Univ of Wisconsin - Milwaukee,Brew City Baja,32.93,0,32.93,0,0,32.93,0,0,0,0,0,0,TRUE,FALSE,FALSE,
