Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Rock Crawl (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
80,90,Colorado State University,Aggies Offroad Racing and Development,139.06,24.79,85,15,40,30,0,0,6.42,18.37,29.27,0,TRUE,TRUE,TRUE,
81,106,Univ of Nevada - Reno,Wolf Pack Racing,116.86,14.02,102.83,49.83,30,23,11.49,0,0,2.53,0,0,TRUE,TRUE,TRUE,
82,139,Universidad Anahuac,Anahuac Racing Team,112.8,0,25,15,10,0,0,0,0,0,87.8,0,TRUE,TRUE,FALSE,
83,19,Univ of New Hampshire,UNH Baja,109.48,32.48,77,15,50,12,20.77,0,7.79,3.91,0,0,TRUE,TRUE,FALSE,
84,132,Iowa State Univ,Cyclone Racing,96.2,0,96.2,67.2,0,29,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,28,Khalifa University,YAS,95,0,95,15,50,30,0,0,0,0,0,0,TRUE,FALSE,FALSE,
86,43,British Columbia Inst of Tech,BCIT Racing,88.27,0,59,15,30,14,0,0,0,0,29.27,0,TRUE,TRUE,FALSE,
87,48,University of Prince Edward Island,Not Bad Racing,82,0,82,15,40,27,0,0,0,0,0,0,TRUE,TRUE,FALSE,
88,53,Universidad Simon Bolivar,Team Baja SAE USB,80,0,80,0,50,30,0,0,0,0,0,0,TRUE,FALSE,FALSE,
89,63,Manhattan College,Jasper Racing,56.94,0.94,56,15,20,21,0.94,0,0,0,0,0,TRUE,TRUE,FALSE,
90,55,Santa Clara Univ,SCU Baja,25,0,25,15,10,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
91,120,Military Technical College,MTC-55,25,0,25,15,10,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
93,111,Central Michigan Univ,Chippewa Performance,15,0,15,15,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
94,54,The Ohio State University,Baja Buckeyes,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
94,54,The Ohio State University,Baja Buckeyes,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
95,76,Univ of Manitoba,Red Lion Racing,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
96,80,Escuela Sup de Ing Automotriz Ecatepec,BUFFALOS RACING TEAM,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
97,32,Univ of Tennessee -Chattanooga,UTC Racing Mocs,10,0,10,0,10,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
98,77,Univ of Texas -Tyler,Red Dirt Racing,5,0,5,5,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
