Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (85),Land Manuverability (75),Rock Crawl (75),Hill Climb (75),Endurance Race (400),Event Penalty,Register,Passed Tech
,36,University of Vermont,Catamount Racing ,25.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,68,Tshwane Univ of Technology,Revelation Machine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,74,Western Nevada Community Colleg,Battle Born Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,75,Univ of Houston - Houston,Natural Disaster Baja ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,87,Ryerson Univ,Ryerson Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,90,Universidad de Carabobo,UC,21.50,0.00,21.50,8.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,91,Escuela Sup De Ing Automotriz Tlalnepa,ESIA EX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,93,IUT_RC -Dr. Federico Rivero Palacio,BAJA IUT-RC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,98,Univ of Colorado - Denver,UCD Baja ,28.00,0.00,28.00,9.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,100,Univ of Calif - Riverside,Team Nightmare ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,103,National Institute of Tech Jamshedpur,Daksh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
