Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
72,13,Auburn Univ,Auburn Off-Road,135.66,0,109.57,55.85,0,53.73,0,0,0,0,26.09,0,TRUE,TRUE,TRUE,
73,64,Seattle Pacific Univ,SPU Falcon Racing,129.63,0,129.63,48.26,40,41.37,0,0,0,0,0,0,TRUE,FALSE,FALSE,
74,47,Geneva College,Geneva Racing,119.36,7.39,71.97,13,30,28.97,0,0,7.39,0,0,40,TRUE,TRUE,TRUE,4WD Bonus
75,83,Arkansas State Univ,Red Wolf Riders,115.7,0,115.7,63,10,42.7,0,0,0,0,0,0,TRUE,FALSE,FALSE,
76,48,Montana Tech,MTech Baja,98.86,0,46.69,0,0,46.69,0,0,0,0,52.17,0,TRUE,TRUE,TRUE,
77,90,Christian Brothers Univ,Desert Demons,89.33,0,71.94,0,20,51.94,0,0,0,0,17.39,0,TRUE,TRUE,TRUE,
78,53,Cetys Universidad,CMB Racing,88.09,0,88.09,18,30,40.09,0,0,0,0,0,0,TRUE,FALSE,FALSE,
79,24,Olin College of Engineering,Olin Baja SAE,69.47,0,69.47,39.47,30,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,
80,44,Univ of Texas -Tyler,Desert Hare,50.73,0,50.73,0,10,40.73,0,0,0,0,0,0,TRUE,FALSE,FALSE,
81,50,Lipscomb Univ,Lipscomb Motorsports,49.4,0,49.4,0,5,44.4,0,0,0,0,0,0,TRUE,FALSE,FALSE,
82,69,Univ of Evansville,Aces Racing,47.6,42.6,5,5,0,0,13.15,0,24.33,5.12,0,0,TRUE,TRUE,TRUE,
83,29,Northern Arizona Univ,Lumberjack Motorsports,47.5,0,47.5,0,0,47.5,0,0,0,0,0,0,TRUE,FALSE,FALSE,
84,32,Louisiana Tech Univ,LA Tech Baja,46.55,0,46.55,0,5,41.55,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,59,Oklahoma State Univ,Cowboy Racing,43.91,0,43.91,0,5,38.91,0,0,0,0,0,0,TRUE,FALSE,FALSE,
86,41,Michigan Tech Univ,MTU Blizzard Baja,43.35,0,43.35,0,0,43.35,0,0,0,0,0,0,TRUE,FALSE,FALSE,
87,30,Western Kentucky Univ,WKU Blackhawks,41.37,0,41.37,0,0,41.37,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,89,Ohio Univ,Bobcat Baja,41.13,0,41.13,0,0,41.13,0,0,0,0,0,0,TRUE,FALSE,FALSE,
89,21,Harding Univ,Bison Baja,33.01,0,33.01,0,0,33.01,0,0,0,0,0,0,TRUE,FALSE,FALSE,
90,66,Citadel,Bulldog Baja,29.95,0,29.95,0,0,29.95,0,0,0,0,0,0,TRUE,FALSE,FALSE,
91,23,Cummins College Of Engineering,TZ8,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
91,79,Northern Kentucky Univ,Norse Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
91,124,Western Michigan Univ,Bronco BAJA,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
