Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Rock Crawl (75),Hill Climb (75),Endurance Race (400),Event Penalty,Register,Passed Tech
54,40,Northern Michigan Univ,Wildcat Racing,365.98,37.72,50.00,0.00,50.00,0.00,37.72,0.00,0.00,0.00,278.26,,,Pass
55,62,Univ of Windsor,Lancers Baja,361.38,116.98,192.23,90.56,60.00,41.67,55.92,0.00,46.63,14.43,52.17,,,Pass
56,32,Kettering Univ,Bulldog Racing ,360.53,97.00,176.57,97.24,30.00,49.33,46.50,0.00,33.09,17.41,86.96,,,Pass
57,12,Universidad Simon Bolivar,BAJA SAE Universidad Simon Bolivar ,353.22,66.61,251.83,96.83,110.00,45.00,50.98,0.00,0.00,15.63,34.78,,,Pass
58,86,Northern Kentucky Univ,Norse Motor Sports,350.05,140.34,96.67,66.34,20.00,10.33,36.69,53.69,33.09,16.87,113.04,,,Pass
59,64,Southern Illinois Univ - Edwardville,Cougar Baja ,349.36,102.45,73.00,13.00,60.00,0.00,33.98,0.00,54.04,14.43,173.91,,,Pass
60,79,Clarkson University,Clarkson University Knights ,341.31,157.71,140.12,39.12,80.00,21.00,53.63,26.77,58.70,18.61,43.48,,,Pass
61,59,California State Univ - Long Beach,CSULB RACING ,335.92,113.16,92.33,0.00,50.00,42.33,49.00,0.00,48.49,15.67,130.43,,,Pass
62,35,York College of Pa,Spartan Baja,334.75,117.07,113.33,12.00,70.00,31.33,49.04,0.00,52.94,15.09,104.35,,,Pass
63,95,Univ of Nevada - Las Vegas,Rebel Racing,333.58,171.98,57.25,57.25,0.00,0.00,57.25,64.85,33.09,16.79,104.35,,,Pass
64,57,Conestoga College,Conestoga Off-road Baja Racing Association,313.19,88.04,86.02,46.69,20.00,19.33,34.77,0.00,41.36,11.91,139.13,,,Pass
65,70,California State Univ- Chico,Chico State Racing,310.70,159.58,142.42,77.42,40.00,25.00,51.95,40.57,52.46,14.60,8.70,,,Pass
66,96,Buffalo State College,Buffalo State Baja,310.51,79.74,135.12,42.12,70.00,23.00,62.79,0.00,0.00,16.95,95.65,,,Pass
67,82,Miami Univ,Redhawk Racing ,309.22,102.76,67.33,0.00,30.00,37.33,53.75,0.00,33.09,15.92,139.13,,,Pass
68,26,Penn State Univ - Altoona,Penn State Altoona Motorsports ,302.08,117.67,62.67,3.00,30.00,29.67,46.15,35.21,20.68,15.63,121.74,,,Pass
69,28,Grove City College,Grove City College Motorsports,298.03,151.58,111.67,4.00,70.00,37.67,32.16,46.33,57.87,15.22,34.78,,,Pass
70,20,McMaster Univ,McMaster Baja Racing ,290.81,167.81,105.61,49.28,30.00,26.33,55.84,0.00,58.18,53.79,17.39,,,Pass
71,122,Sanilac Career Center,ADD racing,280.04,118.69,57.00,0.00,30.00,27.00,48.15,0.00,54.70,15.84,104.35,,,Pass
72,29,Univ of Illinois - Chicago,UIC Motorsports,250.27,98.09,108.70,66.70,20.00,22.00,48.84,0.00,37.22,12.03,43.48,,,Pass
73,22,Ferris State University,Brutus,240.72,132.06,91.27,61.27,20.00,10.00,27.70,32.76,59.15,12.45,17.39,,,Pass
74,17,Marquette Univ,Eagle Racing,229.19,34.99,133.33,63.66,40.00,29.67,0.00,21.97,0.00,13.02,60.87,,,Pass
75,55,Itasca Community College,Itasca Racing,221.55,70.57,55.33,0.00,20.00,35.33,43.28,0.00,0.00,27.29,95.65,,,Pass
76,78,Purdue Univ - Calumet,PUC Motorsports ,214.79,37.34,160.06,72.73,60.00,27.33,29.15,0.00,0.00,8.19,17.39,,,Pass
77,80,Old Dominion Univ,ODU Baja SAE,211.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,,,Pass
78,21,SUNY- Farmingdale,RAM Motorsports,199.13,118.26,20.00,0.00,20.00,0.00,59.49,0.00,41.36,17.41,60.87,,,Pass
79,61,Western Michigan Univ,WMU Baja ,195.28,20.38,105.33,0.00,70.00,35.33,20.38,0.00,0.00,0.00,69.57,,,Pass
80,65,Laurentian Univ,Big Stack Racing,182.98,90.70,66.19,0.52,40.00,25.67,33.46,0.00,44.67,12.57,26.09,,,Pass
81,58,Binghamton Univ,Binghamton University SAE,180.45,84.28,44.00,0.00,30.00,14.00,39.16,32.22,0.00,12.90,52.17,,,Pass
82,104,Univ of Pittsburgh - Johnstown,Johnstown Flood Rescue ,177.62,134.14,0.00,0.00,0.00,0.00,38.17,34.22,49.43,12.32,43.48,,,Pass
83,110,Univ of Western Ontario,Western Baja SAE ,170.49,102.46,59.33,10.00,10.00,39.33,48.34,37.54,0.00,16.58,8.70,,,Pass
84,67,Youngstown State Univ,Penguin Powersports,157.81,37.66,76.67,15.00,30.00,31.67,37.66,0.00,0.00,0.00,43.48,,,Pass
85,71,Univ of South Carolina,Gamecock Motorsports,152.78,101.78,51.00,0.00,30.00,21.00,48.30,0.00,41.36,12.12,0.00,,,Pass
86,91,Univ of Wisconsin - Stout,Blue Devil Racing,124.81,53.14,71.67,2.00,40.00,29.67,39.91,0.00,0.00,13.23,0.00,,,Pass
87,15,Vellore Institute of Technology Chenna,TEAM SAKSHAM INTERNATIONAL,80.67,0.00,80.67,14.00,50.00,16.67,0.00,0.00,0.00,0.00,0.00,,,
88,94,Northern Illinois Univ,NIU MotorSports ,57.61,0.00,57.61,57.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Pass
89,90,Michigan Tech Univ,Blizzard Baja,14.00,0.00,14.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Pass
90,76,Middle Tennessee State Univ,MTSU Motorsports,5.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,,,Pass
,11,Universidad Central de Venezuela,Ultimate Competition Vehicle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,13,UNEXPO Barquisimeto,SAE UNEXPO BARQUISIMETO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,14,New York Inst of Tech,BNB Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,16,New Jersey Inst\Tech(Newark Coll),Dirt Devils,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,33,Rustamji Institute of Technology,BENIGN BEADERS,3.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,47,Vellore Institute of Technology,KI,13.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,49,Cleveland State Univ,Fenn Foxes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,53,Wentworth Inst of Tech ,Leopard,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,63,Virginia Tech,VT Baja,11.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,66,British Columbia Inst of Tech ,BCIT BAJA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,69,Murray State Univ,Racers Baja ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,85,Universite Du Quebec a Trois-Rivieres,mini-baja UQTR ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,89,Illinois Institute of Technology,IIT Motorsports,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,100,Auburn Univ,War Eagle Motorsports ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,102,PSG College of Technology,baja bhais,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,105,Univ of Regina,Cougar Motorsports,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,106,Univ of Toronto,UofT BAJA Team,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,107,Univ of Maryland - College Park,Red Team,12.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,108,Univ of Tennessee -Chattanooga,UTC Racing Mocs,13.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,109,Cegep de Sherbrooke,Baja Cegep de Sherbrooke,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,112,Alfred Univ,Saxon Racing ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,113,Manhattan College,Jasper Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,115,Ryerson Univ,Ryerson Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,116,Univ of Southern Indiana,Mud Eagles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,117,Wichita State Univ,Shocker Racing ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,118,Univ of North Carolina - Charlotte,49er Racing ,11.00,0.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,119,Univ of Southern Maine,University of Southern Maine Baja Team,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,120,Yeungnam College of Science & Tech,YNC Baja SAE Expedition,12.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,121,Concordia University,Concordia Baja Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
