Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Weight Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
70,40,Univ of Cincinnati,Bearcat Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,45,Keimyung University,Speeding,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,52,Arkansas State Univ,Red Wolves Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,56,Western New England University,Golden Bear Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,59,Western Kentucky Univ,Wild Boars,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,62,Geneva College,Geneva Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,65,Univ of Tennessee -Chattanooga,UTC Racing Mocs,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,68,Univ of Nevada - Reno,Wolf Pack Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,71,York College of Pennsylvania,spartran baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,72,Old Dominion Univ,Whiskey Throttle Raceing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,73,Univ of Texas - El Paso,Mad Pete Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,74,Saint Ambrose Univ,Sting Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,76,Bradley Univ,Bradley Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,79,Ecole National D'Aerotechnique,enabaja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,87,Delhi Technological Univ,Deltech Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,90,Univ of Toronto,U of T Baja Team,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,92,Milwaukee School of Engrg,MSOE SAE BAJA,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,93,ITESM - Monterrey,Nova Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,95,Southern Illinois Univ at Carbondale,Saluki Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,96,University of Mount Union,Raider Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,100,Western Michigan Univ,Bronco Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,101,Government College of Engrg Pune,Team Nemesis Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,103,Brigham Young Univ,BYU Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,106,Lehigh Univ,Lehigh Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,107,Washington State Univ,WSU Everett,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,108,Univ of Petroleum & Minerals,kfupm racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
