Rank,Car No,School,Team,Overall Event,Overall Dynamic,Overall Static,Cost,Design,Sales Presentation,Acceleration,Land Manuverability,Hill Climb,Rock Crawl,Endurance,Tech Penalty,Event Penalty
53,27,Univ of Akron,Zips Baja,336.87,100.02,144.00,69.00,60.00,15.00,39.02,0.00,41.90,19.09,92.86,0.00,True,True,True, 
54,101,Southern Illinois Univ - Edwardville,Cougar Baja,331.87,135.01,104.00,64.00,30.00,10.00,39.13,44.27,32.53,19.09,92.86,0.00,True,True,True, 
55,102,Western New England University,Golden Bear Racing,326.27,83.06,121.79,40.00,30.00,51.79,11.68,0.00,42.74,28.64,121.43,0.00,True,True,True, 
55,102,Western New England University,Golden Bear Racing,346.27,83.06,141.79,40.00,50.00,51.79,11.68,0.00,42.74,28.64,121.43,0.00,True,True,True, 
56,45,Union College,Union College BAJA Racing,326.14,88.00,81.00,36.00,40.00,5.00,40.89,0.00,47.11,0.00,157.14,0.00,True,True,True, 
57,40,St Clair County Community College,SC4 Baja,314.72,78.15,108.00,63.00,30.00,15.00,16.90,0.00,42.16,19.09,128.57,0.00,True,True,True, 
58,100,Northwestern Univ,NU MotorCats,312.96,103.10,117.00,52.00,50.00,15.00,41.53,0.00,42.49,19.09,92.86,0.00,True,True,True, 
59,30,Stevens Institute of Technology,Stevens Baja,308.21,76.75,167.18,79.00,40.00,48.18,33.68,0.00,43.07,0.00,64.29,0.00,True,True,True, 
60,19,Univ of Manitoba,Red Lion Racing,306.72,97.00,124.00,44.00,70.00,10.00,33.20,0.00,44.71,19.09,85.71,0.00,True,True,True, 
61,69,West Virginia Univ,Mountaineers,292.70,153.98,103.00,13.00,70.00,20.00,42.76,50.41,32.18,28.64,35.71,0.00,True,True,True, 
62,44,George Washington Univ,GW Baja,270.60,69.54,179.64,66.00,60.00,53.64,26.33,0.00,43.21,0.00,21.43,0.00,True,True,True, 
63,85,Univ of Southern Indiana,Screaming Eagle Racing,265.27,73.99,77.00,62.00,0.00,15.00,0.00,0.00,42.17,31.82,114.29,0.00,True,True,True, 
64,43,Rowan Univ,Rowan Motorsports,261.39,44.39,117.00,62.00,40.00,15.00,28.01,0.00,16.38,0.00,100.00,0.00,True,True,True, 
65,41,Univ of Calgary,Schulich Offroad,256.32,118.61,102.00,62.00,40.00,0.00,49.59,0.00,56.30,12.73,35.71,0.00,True,True,True, 
