Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Weight Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
20,36,Univ of Calif - Los Angeles,Bruin Racing Baja,213.23,0,213.23,77.5,110,25.73,0,0,0,0,0,0,TRUE,TRUE,FALSE,
21,20,Univ of British Columbia,UBC Baja,206.75,0,206.75,65.82,110,30.93,0,0,0,0,0,0,TRUE,TRUE,FALSE,
22,8,Univ of Akron,Zips Baja,206.32,0,206.32,79.41,90,36.91,0,0,0,0,0,0,TRUE,TRUE,FALSE,
23,93,McGill Univ,McGill Baja Racing,198.59,0,198.59,60.75,100,37.84,0,0,0,0,0,0,TRUE,TRUE,FALSE,
24,42,South Dakota School of Mines & Tech,Hardrocker Gold,197.59,0,172.59,65.7,70,36.89,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
25,92,Purdue Univ - W Lafayette,Purdue Baja Racing,194.66,0,194.66,60.62,90,44.04,0,0,0,0,0,0,TRUE,TRUE,FALSE,
26,18,North Carolina State Univ - Raleigh,Pack Motorsports,180.42,0,180.42,60.3,80,40.12,0,0,0,0,0,0,TRUE,TRUE,FALSE,
27,27,Manipal Institute of Tech,Team Manipal Racing,162.75,0,162.75,72.75,90,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
28,63,Univ of Ottawa,Rough Rider Racing,152.31,0,152.31,55.86,70,26.45,0,0,0,0,0,0,TRUE,TRUE,FALSE,
29,29,Union College,Union Baja Racing,149.39,0,149.39,51.51,70,27.88,0,0,0,0,0,0,TRUE,TRUE,FALSE,
30,28,Auburn Univ,Auburn Off-Road,147.69,0,147.69,78.2,40,29.49,0,0,0,0,0,0,TRUE,TRUE,FALSE,
31,34,Laurentian Univ,Big Stack Racing,146.42,0,121.42,64.8,40,16.62,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
32,19,Montana State Univ - Bozeman,Bobcat Motorsports,141.96,0,116.96,28.06,50,38.9,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
33,82,Tennessee Tech Univ,TN Tech Baja,136.73,0,136.73,57.27,50,29.46,0,0,0,0,0,0,TRUE,TRUE,FALSE,
34,21,Univ of Alabama - Tuscaloosa,Bama Racing,133.17,0,133.17,46.53,70,16.64,0,0,0,0,0,0,TRUE,TRUE,FALSE,
35,84,University of Prince Edward Island,a,132.65,0,132.65,40.85,50,41.8,0,0,0,0,0,0,TRUE,TRUE,FALSE,
36,72,Univ of Colorado - Boulder,CU Boulder Baja,132.31,0,132.31,41.97,60,30.34,0,0,0,0,0,0,TRUE,TRUE,FALSE,
37,30,Alfred State College,Pioneer Racing,131.39,0,106.39,76.39,30,0,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
38,104,Université Laval,Alerion,131.3,0,131.3,87.45,0,43.85,0,0,0,0,0,0,TRUE,TRUE,FALSE,
39,83,Stevens Institute of Technology,Dirty Ducks Racing,127.39,0,127.39,50.75,50,26.64,0,0,0,0,0,0,TRUE,TRUE,FALSE,
40,12,Concordia University,Concordia Baja Racing,125.42,0,125.42,65.42,60,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
41,25,South Dakota State Univ,Jackrabbit Baja,123.17,0,123.17,46.4,60,16.77,0,0,0,0,0,0,TRUE,TRUE,FALSE,
42,105,Univ of Illinois - Chicago,UIC Motorsports,122.57,0,122.57,32.36,70,20.21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
43,89,Univ of Nebraska - Lincoln,Husker Racing,118.97,0,118.97,0,80,38.97,0,0,0,0,0,0,TRUE,TRUE,FALSE,
44,23,Eastern Michigan Univ,EMU Baja,114.12,0,114.12,51.82,40,22.3,0,0,0,0,0,0,TRUE,TRUE,FALSE,
45,47,Univ of Memphis,Tiger Baja,104.96,0,104.96,64.96,40,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
46,24,Olin College of Engineering,Olin Baja,99.39,0,99.39,0,70,29.39,0,0,0,0,0,0,TRUE,TRUE,FALSE,
47,33,Manhattan College,Jasper Racing,99.03,0,99.03,43.62,30,25.41,0,0,0,0,0,0,TRUE,TRUE,FALSE,
48,91,Instituto Tecnologico de Queretaro,Zorros Racing Team,90.07,0,90.07,64.03,0,26.04,0,0,0,0,0,0,TRUE,TRUE,FALSE,
49,61,Univ of North Carolina - Charlotte,UNCC BAJA,83.59,0,83.59,15.3,50,18.29,0,0,0,0,0,0,TRUE,TRUE,FALSE,
