Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
89,26,ITESM - Campus QRO,exergia,77.61,0,77.61,77.61,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
90,124,Univ of Memphis,Tiger Baja,66.31,0,66.31,66.31,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
91,48,Manipal Institute of Tech,Team Manipal Racing,62.47,0,62.47,62.47,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
92,87,Univ of Alaska - Anchorage,Seawolf Motorsports,60.43,0,60.43,60.43,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
93,154,Universidad Anahuac Queretaro,Anahuac Racing Queretaro,55,0,55,15,40,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
94,101,Univ of Petroleum & Minerals,KFUPMBAJA,52.95,0,52.95,34.95,0,18,0,0,0,0,0,0,TRUE,FALSE,FALSE,
95,103,California Maritime Academy,Cal Maritime,50.39,0,50.39,50.39,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
96,95,Idaho State University,Idaho State University,45,0,45,15,30,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
97,108,Univ of Calif - Davis,UC Davis Baja,43.35,0,43.35,43.35,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
98,131,ESIA Tlalnepantla,LEONES BLANCOS,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
99,107,Loyola Marymount Univ,LMU LIONS,15,0,15,15,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,
