Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
74,13,Univ of Nebraska - Lincoln,Husker Racing,152.27,0.00,133.67,15.00,80.00,38.67,0.00,0.00,0.00,0.00,18.60,,,Pass
75,99,Idaho State University,Bengals Racing,123.64,52.04,53.00,3.00,50.00,0.00,51.03,0.00,1.01,0.00,18.60,,,Pass
76,80,Christian Brothers Univ,Bucs,120.30,60.25,60.05,60.05,0.00,0.00,51.55,0.00,0.00,8.70,0.00,,,Pass
77,88,Univ of Helwan,BHU,115.33,0.00,115.33,7.00,60.00,48.33,0.00,0.00,0.00,0.00,0.00,,,
78,110,San Diego State Univ,SDSU Baja,112.33,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,102.33,,,Pass
79,44,Univ of Tennessee -Chattanooga,UTC Racing Mocs,111.33,0.00,111.33,13.00,60.00,38.33,0.00,0.00,0.00,0.00,0.00,,,Pass
80,21,Vellore Institute of Technology,Team Jaabaz,104.27,0.00,85.67,12.00,40.00,33.67,0.00,0.00,0.00,0.00,18.60,,,Pass
81,48,Milwaukee School of Engrg,Nuclear Fallout ,94.27,1.27,93.00,9.00,50.00,34.00,0.00,0.00,1.27,0.00,0.00,,,Pass
82,104,Boise State Univ,Boise State Motorsports,88.68,55.28,33.40,11.00,0.00,22.40,55.28,0.00,0.00,0.00,0.00,,,Pass
83,98,Gonzaga Universtity,Gonzaga,68.27,0.00,68.27,34.27,0.00,34.00,0.00,0.00,0.00,0.00,0.00,,,Pass
84,114,Olympic College ,Olympic College Baja Extreme,66.33,0.00,66.33,0.00,30.00,36.33,0.00,0.00,0.00,0.00,0.00,,,
85,77,Intituto Tecnologico de CD Cuauhtemoc,Daram,54.33,0.00,54.33,3.00,30.00,21.33,0.00,0.00,0.00,0.00,0.00,,,
86,67,Universidad La Salle Pachuca,Halcones,37.75,0.00,37.75,0.00,0.00,37.75,0.00,0.00,0.00,0.00,0.00,,,
87,107,Univ of Texas - El Paso,Mad Pete Motorsports II,30.00,0.00,30.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Pass
88,34,Univ of Texas - El Paso,Mad Pete Motorsports,25.50,0.00,25.50,0.00,0.00,25.50,0.00,0.00,0.00,0.00,0.00,,,
89,83,Universidad Technologica de Ciudad Juarez,TOROS BRAVOS,13.00,0.00,13.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,,,
90,53,Western Washington Univ,WWU Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
90,97,Lovely Professional University,Illuminati Racers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
90,115,Texas A&M - Kingsville,Javelina Motorsports,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
90,116,Univ of Science & Tech of Iran,sorena,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
,28,Cairo University,BCURT,70.00,0.00,70.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,31,California State Poly Univ - Pomona,Bronco Racing ,52.00,0.00,52.00,12.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,,No,
,111,Brigham Young Univ,BYU Jr. Baja,9.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,33,George Washington Univ,Geoff,6.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,79,Univ of Missouri,Mizzou Baja,3.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,41,Georgia Institute of Technology,GT Offroad,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,45,Univ of Houston - College of Tech,LEVEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,57,Delhi Technological Univ,Deltech Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,59,University of Vermont,Vermontsters,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,61,Gautam Buddha University,VAJRAYANA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,66,Universidad La Salle Cuernavaca,Gallos ULSAC ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,68,Khalifa University,KU Racers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,69,PSG College of Technology,baja bhais,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,78,Cegep de Sherbrooke,Baja Cegep de Sherbrooke,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,87,Sanilac Career Center,ADD racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,92,Ohio State Univ,Buckeye Baja ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
