Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
85,56,Univ of Alabama - Birmingham,Blazer Motorsports,172.2,0,124.58,62.58,30,32,0,0,0,0,47.62,0,TRUE,TRUE,TRUE,
86,54,Missouri University of Science and Tech,Miner Baja Racing,171.98,0,133.88,75.21,40,18.67,0,0,0,0,38.1,0,TRUE,TRUE,TRUE,
87,50,Colorado School of Mines,Mines Baja,168.91,0,140.34,38.84,70,31.5,0,0,0,0,28.57,0,TRUE,TRUE,TRUE,
88,137,Univ of Memphis,Tiger Baja,167.58,0,34.25,0,10,24.25,0,0,0,0,133.33,0,TRUE,TRUE,TRUE,
89,85,Tennessee Tech Univ,TTU Baja,161.26,0,151.74,54.99,70,26.75,0,0,0,0,9.52,0,TRUE,TRUE,TRUE,
90,72,Florida Inst of Tech,F.I.T. SAE Baja,144.29,0,30,0,30,0,0,0,0,0,114.29,0,TRUE,FALSE,FALSE,
91,49,SUNY - Buffalo,UB Motorsports,132.89,0,75.75,1,40,34.75,0,0,0,0,57.14,0,TRUE,TRUE,TRUE,
92,14,Univ of Alabama - Tuscaloosa,Bama Racing,131.19,0,55,0,30,25,0,0,0,0,76.19,0,TRUE,TRUE,TRUE,
93,118,Univ of Evansville,Aces Baja Racing,123.78,0,104.73,37.73,50,17,0,0,0,0,19.05,0,TRUE,TRUE,TRUE,
94,35,Citadel,Bulldog Baja,114.11,0,76.01,60.01,0,16,0,0,0,0,38.1,0,TRUE,FALSE,FALSE,
95,60,Univ of Texas - El Paso,Mad Pete Motorsports,113.66,0,113.66,31.41,50,32.25,0,0,0,0,0,0,TRUE,TRUE,TRUE,
96,77,New Mexico Inst of Mining & Tech,NMT Dirty Miners,111.93,14.68,97.25,50.5,20,26.75,0,0,0,14.68,0,0,TRUE,TRUE,TRUE,
97,27,Univ of Notre Dame,Notre Dame Irish Racing,108.75,0,108.75,14,80,14.75,0,0,0,0,0,0,TRUE,TRUE,TRUE,
98,108,Embry-Riddle Aero Univ - Daytona Beach,ERAU Lady Eagles Baja,101.48,0,82.43,34.93,30,17.5,0,0,0,0,19.05,0,TRUE,TRUE,TRUE,
99,103,Univ of Tulsa,Hurricane Baja,99.52,0,99.52,69.52,30,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,
100,67,Murray State Univ,Racers Baja,81.33,0,52.76,22.76,30,0,0,0,0,0,28.57,0,TRUE,TRUE,TRUE,
101,100,Harding Univ,Bison Baja,65.25,0,65.25,0,40,25.25,0,0,0,0,0,0,TRUE,TRUE,TRUE,
102,127,Univ of Missouri,Mizzou Baja Racing,64.13,20.8,43.33,0,20,23.33,20.8,0,0,0,0,0,TRUE,TRUE,TRUE,
103,38,Univ of Kansas - Lawrence,Jayhawk Motorsports Baja,53.5,0,53.5,0,40,13.5,0,0,0,0,0,0,TRUE,TRUE,TRUE,
104,119,Univ of Arkansas- Fort Smith,UAFS Baja,45.67,0,45.67,3,20,22.67,0,0,0,0,0,0,TRUE,FALSE,FALSE,
106,29,Test,Test,39.11,0,39.11,39.11,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
106,29,Test,Test,39.11,0,39.11,39.11,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
107,86,Instituto Tecnologico de Pachuca,Escuderia ITP,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
107,90,Instituto Tecnologico Sup De Irapuato,Buho Electromecanico,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
107,115,New York Inst of Tech,NYIT Bears Racing Team,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
