Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2015.2,42,57.57575757575758,29,70.70707070707071,36,63.63636363636363,62,37.37373737373738,24,75.75757575757575,15,84.84848484848484,10,89.8989898989899,23,76.76767676767676,32,67.67676767676768,48,51.515151515151516,59,40.4040404040404,99
2015.1,42,57.99999999999999,20,80.0,35,65.0,64,36.0,27,73.0,8,92.0,27,73.0,17,83.0,21,79.0,26,74.0,52,48.0,100
2014.3,42,64.70588235294117,63,47.05882352941176,44,63.02521008403361,34,71.42857142857143,56,52.94117647058824,26,78.15126050420169,21,82.35294117647058,60,49.57983193277311,65,45.378151260504204,37,68.90756302521008,33,72.26890756302521,119
2014.2,49,57.758620689655174,81,30.17241379310345,31,73.27586206896551,42,63.793103448275865,33,71.55172413793103,47,59.48275862068966,72,37.93103448275862,59,49.137931034482754,71,38.793103448275865,62,46.55172413793103,34,70.6896551724138,116
2014.1,,,,,,,,,,,,,,,,,,,,,,,
2013.3,58,42.0,53,47.0,31,69.0,31,69.0,37,63.0,58,42.0,49,51.0,60,40.0,60,40.0,27,73.0,65,35.0,100
2013.2,,,,,,,,,,,,,,,,,,,,,,,
2013.1,,,,,,,,,,,,,,,,,,,,,,,
2012.3,,,,,,,,,,,,,,,,,,,,,,,
2012.2,70,39.130434782608695,72,37.391304347826086,33,71.30434782608695,63,45.21739130434783,16,86.08695652173914,70,39.130434782608695,51,55.65217391304348,79,31.30434782608696,76,33.91304347826087,62,46.08695652173913,75,34.78260869565217,115
2012.1,,,,,,,,,,,,,,,,,,,,,,,
2011.3,,,,,,,,,,,,,,,,,,,,,,,
2011.2,,,,,,,,,,,,,,,,,,,,,,,
2011.1,48,52.0,64,36.0,22,78.0,53,47.0,13,87.0,48,52.0,19,81.0,54,46.0,75,25.0,33,67.0,52,48.0,100
2010.3,40,54.02298850574713,49,43.67816091954023,40,54.02298850574713,44,49.42528735632184,35,59.77011494252874,40,54.02298850574713,46,47.12643678160919,48,44.827586206896555,32,63.2183908045977,43,50.57471264367817,38,56.32183908045977,87
2010.2,,,,,,,,,,,,,,,,,,,,,,,
2010.1,,,,,,,,,,,,,,,,,,,,,,,
2009.3,,,,,,,,,,,,,,,,,,,,,,,
2009.2,49,59.166666666666664,69,42.5,52,56.666666666666664,41,65.83333333333333,48,60.0,49,59.166666666666664,90,25.0,72,40.0,81,32.5,55,54.166666666666664,52,56.666666666666664,120
2009.1,,,,,,,,,,,,,,,,,,,,,,,
2008.3,,,,,,,,,,,,,,,,,,,,,,,
2008.2,81,18.181818181818183,86,13.131313131313133,80,19.19191919191919,67,32.323232323232325,73,26.262626262626267,86,13.131313131313133,86,13.131313131313133,86,13.131313131313133,86,13.131313131313133,86,13.131313131313133,86,13.131313131313133,99
2008.1,66,38.88888888888889,74,31.48148148148148,25,76.85185185185185,91,15.74074074074074,104,3.7037037037037033,66,38.88888888888889,95,12.037037037037036,90,16.666666666666664,95,12.037037037037036,99,8.333333333333332,95,12.037037037037036,108
2007.3,,,,,,,,,,,,,,,,,,,,,,,
2007.2,,,,,,,,,,,,,,,,,,,,,,,
2007.1,,,,,,,,,,,,,,,,,,,,,,,
