Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Rock Crawl (75),Hill Climb (75),Endurance Race (400),Event Penalty,Register,Passed Tech
63,92,Southern Illinois Univ - Edwardville,Cougar Baja,288.89,38.60,15.00,15.00,0.00,0.00,11.89,0.00,0.00,26.71,235.29,,,Pass
64,20,Universidad Simon Bolivar,Baja SAE USB,286.98,70.13,205.09,86.66,80.00,38.43,58.41,0.00,0.00,11.72,11.76,,,Pass
65,61,Baylor Univ,Baylor Baja,280.08,73.76,171.03,59.77,80.00,31.26,48.76,0.00,5.01,19.99,35.29,,,Pass
66,74,Univ of Calif - Davis,Baja SAE at UC Davis,276.97,55.64,127.21,53.80,40.00,33.41,23.90,22.09,0.00,9.65,94.12,,,Pass
67,18,San Jose State University,Spartan Racing,248.22,69.63,60.94,31.12,10.00,19.82,45.93,0.00,5.61,18.09,117.65,,,Pass
68,71,Universidad de Carabobo,Organizacion SAE UC Venezuela,227.71,91.78,77.11,0.00,40.00,37.11,22.97,60.02,0.00,8.79,58.82,,,Pass
69,82,Univ of Calif - Santa Barbara,UCSB Racing,227.46,58.00,75.34,0.00,40.00,35.34,0.00,43.77,5.61,8.62,94.12,,,Pass
70,19,Univ of Wisconsin - Milwaukee,UW-Milwaukee Baja,200.20,0.00,70.79,6.00,40.00,24.79,0.00,0.00,0.00,0.00,129.41,,,Pass
71,26,Turabo Univ,UT Baja Racing,196.25,136.14,36.58,36.58,0.00,0.00,41.54,42.30,5.44,46.86,23.53,,,Pass
72,17,Olivet Nazarene Univ,Team Olivet Baja,183.02,36.63,40.51,0.00,20.00,20.51,22.50,0.00,0.00,14.13,105.88,,,Pass
73,111,Univ of Oklahoma,Sooner Off-Road,173.95,33.41,93.48,0.00,60.00,33.48,31.86,0.00,0.00,1.55,47.06,,,Pass
74,80,Univ of Calif - Irvine,Anteater Racing,148.20,57.11,79.33,0.00,50.00,29.33,43.92,0.00,5.78,7.41,11.76,,,Pass
75,28,British Columbia Inst of Tech ,BCIT Baja,147.57,0.00,112.28,45.10,50.00,17.18,0.00,0.00,0.00,0.00,35.29,,,Pass
76,83,Idaho State Univ,BAJA,138.63,57.73,69.14,55.56,0.00,13.58,38.77,0.00,0.00,18.96,11.76,,,Pass
77,75,Montana Tech,Montana Tech Orediggers,129.76,37.80,33.14,33.14,0.00,0.00,17.81,0.00,0.00,19.99,58.82,,,Pass
78,105,New Mexico Inst of Mining & Tech,Dirty Miners,127.06,19.30,60.70,3.00,30.00,27.70,0.00,0.00,0.00,19.30,47.06,,,Pass
79,93,Yeungnam College of Science & Tech,YUC Baja SAE Expedition,123.25,37.00,86.25,55.22,0.00,31.03,29.25,0.00,0.00,7.75,0.00,,,Pass
80,70,Gonzaga Univ,Gonzaga University,117.78,35.07,70.95,3.00,40.00,27.95,30.07,0.00,0.00,5.00,11.76,,,Pass
81,108,Bits Pilani-Dubai,Black Hawks,77.87,0.00,77.87,6.00,50.00,21.87,0.00,0.00,0.00,0.00,0.00,,,
82,24,Univ of Texas - El Paso,Mad Pete Motorsports,65.44,0.00,65.44,25.50,10.00,29.94,0.00,0.00,0.00,0.00,0.00,,,Pass
83,12,Marquette Univ,Eagle Racing,39.38,0.00,39.38,13.00,0.00,26.38,0.00,0.00,0.00,0.00,0.00,,,
84,124,Fort Lewis College,Fort Lewis Baja,34.12,34.12,0.00,0.00,0.00,,34.12,0.00,0.00,0.00,0.00,,,Pass
85,109,Olympic College,Baja Extreme,27.00,0.00,27.00,7.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
86,53,Univ of Memphis,Tiger Baja,19.31,0.00,19.31,0.00,0.00,19.31,0.00,0.00,0.00,0.00,0.00,,,
87,96,Univ of Missouri,Mizzou Baja Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
,16,Missouri University of Science and Tech,Miner Baja SAE,25.00,0.00,25.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,22,Univ of Kansas - Lawrence,JMS Baja,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,35,Maulana Azad National Institute of Tech,NIT-B RACING,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,44,Manipal University,XLR8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,46,Univ of Nevada - Reno,Wolf Pack Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,49,Univ of Louisville,Speed Motorsports,24.00,0.00,24.00,14.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,56,Univ of Wyoming,Powder River,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,57,Univ of Regina,Cougar Motorsports,13.00,0.00,13.00,3.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,67,Univ of Colorado - Colorado Springs,Gear Heads,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,91,Northern Arizona Univ,Lumberjack Racing,6.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,99,Northern Illinois Univ,NIU Mini Baja,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,100,Univ of Tennessee -Chattanooga,UTC racing mocs,16.00,0.00,16.00,6.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
,107,Cetys Universidad,Zorro Racing Z8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,No,
